#                 1000000                    lines
#       Iterationsschritt                     Zeit                <Fitness>
                        1    8.852160000000000E-01    1.668692303200526E+05
                       10    2.509916000000000E+00    1.109557654271670E+05
                       20    4.487579000000000E+00    4.881031842033783E+04
                       30    6.334917000000000E+00    4.078671903900316E+04
                       40    8.067192000000000E+00    3.918402856062027E+04
                       50    1.001534800000000E+01    3.758831795393109E+04
                       60    1.176580700000000E+01    3.619311748823606E+04
                       70    1.370469400000000E+01    3.489009771321266E+04
                       80    1.548629900000000E+01    3.308903429607477E+04
                       90    1.737207400000000E+01    3.211420093934565E+04
                      100    1.896991500000000E+01    3.106251456242797E+04
                      110    2.076204700000000E+01    3.021621331519010E+04
                      120    2.253619500000000E+01    2.968572480864199E+04
                      130    2.459960200000000E+01    2.936820177067473E+04
                      140    2.640041900000000E+01    2.925427207051431E+04
                      150    2.823103500000000E+01    2.882209360102802E+04
                      160    2.996950000000000E+01    2.849445332650884E+04
                      170    3.192199700000000E+01    2.837891130481174E+04
                      180    3.398909600000000E+01    2.736138689105980E+04
                      190    3.619246300000000E+01    2.733494223230919E+04
                      200    3.807664300000000E+01    2.753845111583127E+04
                      210    3.999657699999999E+01    2.807161384344620E+04
                      220    4.183752300000000E+01    2.797529578914038E+04
                      230    4.368291900000000E+01    2.765017849204275E+04
                      240    4.582389100000000E+01    2.782580447782670E+04
                      250    4.771238100000000E+01    2.734565626628620E+04
                      260    4.965676100000000E+01    2.659545844080603E+04
                      270    5.185865200000000E+01    2.616594175898550E+04
                      280    5.365515600000000E+01    2.560921839003658E+04
                      290    5.558419400000000E+01    2.552958918758984E+04
                      300    5.755552900000000E+01    2.569858719935508E+04
                      310    5.958163900000000E+01    2.586708571888987E+04
                      320    6.140392600000000E+01    2.576667341373685E+04
                      330    6.328063100000000E+01    2.560847746251515E+04
                      340    6.523348300000001E+01    2.525704765152796E+04
                      350    6.713661400000001E+01    2.521804872527680E+04
                      360    6.897044000000001E+01    2.507596684940145E+04
                      370    7.076997100000000E+01    2.495284998375521E+04
                      380    7.285977200000001E+01    2.504177574767695E+04
                      390    7.495674300000000E+01    2.507830718968813E+04
                      400    7.691720800000000E+01    2.458627945356179E+04
                      410    7.909164300000000E+01    2.474292372902199E+04
                      420    8.096142900000001E+01    2.478406936905926E+04
                      430    8.299157200000001E+01    2.479918328782664E+04
                      440    8.519468100000000E+01    2.483859438371426E+04
                      450    8.710320600000000E+01    2.502168285452612E+04
                      460    8.905024800000001E+01    2.489753630410131E+04
                      470    9.112557100000001E+01    2.472424472867669E+04
                      480    9.324096700000001E+01    2.497781699117545E+04
                      490    9.528610400000001E+01    2.506877149446181E+04
                      500    9.734973700000000E+01    2.525219025840671E+04
                      510    9.945421100000000E+01    2.495042117814656E+04
