#                 1000000                    lines
#       Iterationsschritt                     Zeit       Bester Fitnesswert
                     1200    1.436233180000000E+02    2.213358247068614E+04
                     1210    1.446633180000000E+02    2.213358247068614E+04
                     1220    1.456833190000000E+02    2.213358247068614E+04
                     1230    1.466866510000000E+02    2.213358247068614E+04
                     1240    1.476899850000000E+02    2.213358247068614E+04
                     1250    1.487233190000000E+02    2.213358247068614E+04
                     1260    1.497066510000000E+02    2.213358247068614E+04
                     1270    1.507599840000000E+02    2.213358247068614E+04
                     1280    1.517599850000000E+02    2.213358247068614E+04
                     1290    1.527699840000000E+02    2.213358247068614E+04
                     1300    1.537699850000000E+02    2.213358247068614E+04
                     1310    1.547833180000000E+02    2.213358247068614E+04
                     1320    1.558133170000000E+02    2.213358247068614E+04
                     1330    1.568566510000000E+02    2.213358247068614E+04
                     1340    1.578499840000000E+02    2.213358247068614E+04
                     1350    1.588533170000000E+02    2.213358247068614E+04
                     1360    1.598699830000000E+02    2.213358247068614E+04
                     1370    1.608766500000000E+02    2.213358247068614E+04
                     1380    1.618966500000000E+02    2.213358247068614E+04
                     1390    1.629199840000000E+02    2.213358247068614E+04
                     1400    1.639199830000000E+02    2.213358247068614E+04
                     1410    1.649666500000000E+02    2.213358247068614E+04
                     1420    1.659833160000000E+02    2.213358247068614E+04
                     1430    1.669799830000000E+02    2.213358247068614E+04
                     1440    1.679666490000000E+02    2.213358247068614E+04
                     1450    1.689499830000000E+02    2.213358247068614E+04
                     1460    1.699499820000000E+02    2.213358247068614E+04
                     1470    1.709166500000000E+02    2.213358247068614E+04
                     1480    1.719233160000000E+02    2.213358247068614E+04
                     1490    1.729566490000000E+02    2.213358247068614E+04
                     1500    1.740099830000000E+02    2.213358247068614E+04
                     1510    1.749799820000000E+02    2.213358247068614E+04
                     1520    1.760199820000000E+02    2.213358247068614E+04
                     1530    1.770233150000000E+02    2.202442218194631E+04
                     1540    1.780066490000000E+02    2.213358247068614E+04
                     1550    1.790166490000000E+02    2.213358247068614E+04
                     1560    1.800033150000000E+02    2.213358247068614E+04
                     1570    1.810299810000000E+02    2.213358247068614E+04
                     1580    1.820766480000000E+02    2.213358247068614E+04
                     1590    1.830899820000000E+02    2.213358247068614E+04
                     1600    1.840733140000000E+02    2.213358247068614E+04
                     1610    1.850599810000000E+02    2.198428187512119E+04
                     1620    1.860433140000000E+02    2.213358247068614E+04
                     1630    1.870333140000000E+02    2.213358247068614E+04
                     1640    1.880166470000000E+02    2.213358247068614E+04
                     1650    1.890299810000000E+02    2.213358247068614E+04
                     1660    1.900566470000000E+02    2.213358247068614E+04
                     1670    1.910833140000000E+02    2.213358247068614E+04
                     1680    1.920999810000000E+02    2.213358247068614E+04
                     1690    1.930766470000000E+02    2.213358247068614E+04
                     1700    1.940866470000000E+02    2.213358247068614E+04
                     1710    1.950833130000000E+02    2.213358247068614E+04
                     1720    1.961066470000000E+02    2.213358247068614E+04
                     1730    1.971599790000000E+02    2.213358247068614E+04
                     1740    1.982033130000000E+02    2.213358247068614E+04
                     1750    1.991999800000000E+02    2.213358247068614E+04
                     1760    2.003833130000000E+02    2.213358247068614E+04
                     1770    2.013966460000000E+02    2.213358247068614E+04
                     1780    2.024366460000000E+02    2.213358247068614E+04
                     1790    2.034199790000000E+02    2.213358247068614E+04
                     1800    2.044099790000000E+02    2.213358247068614E+04
                     1810    2.055166450000000E+02    2.213358247068614E+04
                     1820    2.065499790000000E+02    2.213358247068614E+04
                     1830    2.075866450000000E+02    2.213358247068614E+04
                     1840    2.086033120000000E+02    2.213358247068614E+04
                     1850    2.096399790000000E+02    2.213358247068614E+04
                     1860    2.107199780000000E+02    2.213358247068614E+04
                     1870    2.117533110000000E+02    2.213358247068614E+04
                     1880    2.127633120000000E+02    2.213358247068614E+04
                     1890    2.137866450000000E+02    2.213358247068614E+04
                     1900    2.147933110000000E+02    2.202442218194631E+04
                     1910    2.158666450000000E+02    2.213358247068614E+04
                     1920    2.168599780000000E+02    2.213358247068614E+04
                     1930    2.178833110000000E+02    2.213358247068614E+04
                     1940    2.188599780000000E+02    2.213358247068614E+04
                     1950    2.198966440000000E+02    2.213358247068614E+04
                     1960    2.209299770000000E+02    2.213358247068614E+04
                     1970    2.219233110000000E+02    2.213358247068614E+04
                     1980    2.229166440000000E+02    2.213358247068614E+04
                     1990    2.239133110000000E+02    2.213358247068614E+04
                     2000    2.249766440000000E+02    2.213358247068614E+04
                     2010    2.260466440000000E+02    2.213358247068614E+04
